time_period;economic_activity;establishment_size;number_of_establishments
2017;Printing and reproduction of recorded media;Less than 5 Employees;814.0
2017;Printing and reproduction of recorded media;20+  Employees;180.0
2017;Manufacture of coke and refined petroleum products;5 to 19 Employees;75.0
2017;Manufacture of chemicals and chemical products;Less than 5 Employees;374.0
2017;Manufacture of chemicals and chemical products;20+  Employees;560.0
2017;Manufacture of other non-metallic mineral products;20+  Employees;1203.0
2017;Manufacture of machinery and equipment n.e.c.;Less than 5 Employees;118.0
2017;Manufacture of other transport equipment;Total;51.0
2017;Manufacture of furniture;Total;9986.0
2017;Repair and installation of machinery and equipment;Total;12426.0
2017;Electricity, gas, steam and air conditioning supply;20+  Employees;267.0
2017;Water collection, treatment and supply;5 to 19 Employees;349.0
2017;Water collection, treatment and supply;Total;1991.0
2017;"Waste collection, treatment & disposal activities; materials recovery";20+  Employees;65.0
2017;Remediation activities and other waste management services;20+  Employees;10.0
2017;Construction of buildings;Less than 5 Employees;9882.0
2017;Construction of buildings;Total;21106.0
2017;Specialized construction activities;Total;11763.0
2017;Wholesale & retail trade and repair of motor vehicles & motorcycles;Total;95734.0
2017;Retail trade, except of motor vehicles and motorcycles;20+  Employees;2535.0
2017;Retail trade, except of motor vehicles and motorcycles;Total;340183.0
2017;Water transport;Total;338.0
2017;Postal and courier activities;5 to 19 Employees;117.0
2017;Accommodation;Less than 5 Employees;22937.0
2017;Motion picture, video & tv programme production, sound recording;Less than 5 Employees;140.0
2017;Programming and broadcasting activities;20+  Employees;13.0
2017;Programming and broadcasting activities;Total;437.0
2017;Telecommunications;Less than 5 Employees;2508.0
2017;Telecommunications;20+  Employees;281.0
2017;Information service activities;20+  Employees;28.0
2017;Information service activities;Total;363.0
2017;Real estate activities;Less than 5 Employees;32125.0
2017;Real estate activities;5 to 19 Employees;2272.0
2017;Legal and accounting activities;Less than 5 Employees;1161.0
2017;Legal and accounting activities;5 to 19 Employees;571.0
2017;"Architectural and engineering activities; technical testing & analysis";20+  Employees;338.0
2017;Advertising and market research;Less than 5 Employees;2274.0
2017;Other professional, scientific and technical activities;20+  Employees;33.0
2017;Employment activities;5 to 19 Employees;726.0
2017;Travel agency, tour operator, reservation service & related activities;Less than 5 Employees;2002.0
2017;Education;Less than 5 Employees;2480.0
2017;Human health activities;Total;4160.0
2017;Residential care activities;20+  Employees;20.0
2017;Social work activities without accommodation;5 to 19 Employees;741.0
2017;Social work activities without accommodation;20+  Employees;147.0
2017;Creative, arts and entertainment activities;20+  Employees;14.0
2017;Activities of membership organizations;Total;2600.0
2017;Other personal service activities;5 to 19 Employees;3332.0
2017;Other personal service activities;Total;62419.0
2017;Crop and animal production, hunting and related service activities;20+  Employees;437.0
2017;Forestry and logging;5 to 19 Employees;39.0
2017;Fishing and aquaculture;20+  Employees;12.0
2017;Mining of coal and lignite;5 to 19 Employees;0.0
2017;Extraction of crude petroleum and natural gas;Total;72.0
2017;Mining of metal ores;Total;51.0
2017;Mining support service activities;Less than 5 Employees;20.0
2017;Manufacture of beverages;5 to 19 Employees;244.0
2017;Manufacture of textiles;Total;2387.0
2017;Manufacture of wearing apparel;20+  Employees;122.0
2017;Manufacture of wearing apparel;Total;32951.0
2017;Manufacture of wood and of products of wood and cork;20+  Employees;152.0
2017;Manufacture of paper and paper products;20+  Employees;129.0
2017;Crop and animal production, hunting and related service activities;Less than 5 Employees;83493.0
2017;Crop and animal production, hunting and related service activities;5 to 19 Employees;5195.0
